PID COMMAND
771 /usr/libexec/gnome-remote-desktop-daemon
1667 /usr/libexec/gnome-session-binary
1766 /usr/libexec/gnome-session-binary
1733 /usr/libexec/gnome-session-ctl
1882 /usr/libexec/gnome-shell-calendar-server
3105 /usr/libexec/gnome-terminal-server
2078 /usr/libexec/goa-daemon
2151 /usr/libexec/goa-identity-service
1913 /usr/libexec/gsd-a11y-settings
1914 /usr/libexec/gsd-color
1915 /usr/libexec/gsd-datetime
1944 /usr/libexec/gsd-disk-utility-notify
1918 /usr/libexec/gsd-housekeeping
1920 /usr/libexec/gsd-keyboard
1921 /usr/libexec/gsd-media-keys
1923 /usr/libexec/gsd-power
2037 /usr/libexec/gsd-printer
1924 /usr/libexec/gsd-print-notifications
1926 /usr/libexec/gsd-rfkill
1930 /usr/libexec/gsd-screensaver-proxy
1932 /usr/libexec/gsd-sharing
1935 /usr/libexec/gsd-smartcard
1938 /usr/libexec/gsd-sound
1939 /usr/libexec/gsd-wacom
6637 /usr/libexec/gsd-xsettings
2173 /usr/libexec/gvfs-afc-volume-monitor
1747 /usr/libexec/gvfsd
1763 /usr/libexec/gvfsd-fuse
2447 /usr/libexec/gvfsd-metadata
6689 /usr/libexec/gvfsd-recent
2243 /usr/libexec/gvfsd-trash
2163 /usr/libexec/gvfs-goa-volume-monitor
2155 /usr/libexec/gvfs-gphoto2-volume-monitor
2183 /usr/libexec/gvfs-mtp-volume-monitor
2089 /usr/libexec/gvfs-udisks2-volume-monitor
2213 /usr/libexec/ibus-engine-simple
2095 /usr/libexec/ibus-extension-gtk3
2091 /usr/libexec/ibus-memconf
2124 /usr/libexec/ibus-portal
6660 /usr/libexec/ibus-x11
6665 /usr/libexec/mutter-x11-frames
779 /usr/libexec/power-profiles-daemon
1107 /usr/libexec/rtkit-daemon
795 /usr/libexec/switcheroo-control
2274 /usr/libexec/tracker-miner-fs-3
806 /usr/libexec/udisks2/udisksd
1234 /usr/libexec/upowerd
2359 /usr/libexec/xdg-desktop-portal
2364 /usr/libexec/xdg-desktop-portal-gnome
2441 /usr/libexec/xdg-desktop-portal-gtk
1613 /usr/libexec/xdg-document-portal
1634 /usr/libexec/xdg-permission-store
776 /usr/lib/polkit-1/polkitd
786 /usr/lib/snapd/snapd
6866 /usr/lib/systemd/systemd-journald
799 /usr/lib/systemd/systemd-logind
647 /usr/lib/systemd/systemd-oomd
649 /usr/lib/systemd/systemd-resolved
655 /usr/lib/systemd/systemd-timesyncd
427 /usr/lib/systemd/systemd-udevd
1569 /usr/lib/systemd/systemd
793 /usr/sbin/cron
1046 /usr/sbin/cups-browsed
1025 /usr/sbin/cupsd
1042 /usr/sbin/gdm3
1061 /usr/sbin/kerneloops
1053 /usr/sbin/kerneloops
880 /usr/sbin/ModemManager
833 /usr/sbin/NetworkManager
821 /usr/sbin/rsyslogd
836 /usr/sbin/wpa_supplicant
51 [watchdogd]
